Player,Probability of injury in the season,Projected Games Missed,Probability of Injury per game,Durability,Projected Points
Tevin Coleman,0.77,2.50,0.09,4.00,132.00
Sony Michel,0.67,3.00,0.07,0.00,178.00
C.J. Prosise,0.65,6.00,0.06,0.00,9.00
Saquon Barkley,0.63,2.00,0.06,0.00,271.00
Spencer Ware,0.63,3.00,0.06,1.00,18.00
Kerryon Johnson,0.60,2.00,0.06,0.00,185.00
Marlon Mack,0.60,5.00,0.06,4.00,167.00
Nyheim Hines,0.59,2.00,0.06,0.00,85.00
Royce Freeman,0.59,1.75,0.06,0.00,101.00
Carlos Hyde,0.59,1.25,0.05,3.00,67.00
Derrius Guice,0.58,2.32,0.05,0.00,166.00
Ty Montgomery,0.58,6.13,0.05,1.00,34.00
Doug Martin,0.58,2.25,0.05,3.00,31.00
Dalvin Cook,0.58,1.50,0.05,0.00,197.00
Alvin Kamara,0.58,1.75,0.05,1.00,257.00
Jamaal Williams,0.58,2.00,0.05,2.00,70.00
Adrian Peterson,0.58,4.92,0.05,4.00,59.00
Le'Veon Bell,0.58,1.25,0.05,5.00,208.00
Chris Thompson,0.58,3.00,0.05,2.00,76.00
Rex Burkhead,0.58,2.25,0.05,4.00,37.00
Alfred Blue,0.58,2.00,0.05,9.00,54.00
David Johnson,0.58,3.75,0.05,3.00,233.00
Leonard Fournette,0.58,2.00,0.05,2.00,192.00
Joe Mixon,0.58,1.88,0.05,4.00,216.00
LeSean McCoy,0.56,1.50,0.05,7.00,108.00
Theo Riddick,0.56,1.50,0.05,4.00,67.00
Mark Ingram,0.56,1.00,0.05,5.00,179.00
Ronald Jones,0.56,1.50,0.05,0.00,107.00
Derrick Henry,0.55,1.00,0.05,33.00,185.00
C.J. Anderson,0.55,1.00,0.05,3.00,90.00
Aaron Jones,0.55,1.75,0.05,2.00,196.00
Kenneth Dixon,0.54,1.50,0.05,0.00,31.00
Ameer Abdullah,0.54,2.25,0.05,2.00,5.00
Jerick McKinnon,0.53,1.75,0.05,48.00,110.00
Melvin Gordon,0.53,2.32,0.05,4.00,231.00
Jordan Howard,0.53,1.00,0.05,7.00,85.00
Nick Chubb,0.53,1.00,0.05,0.00,206.00
Todd Gurley,0.52,0.25,0.05,5.00,209.00
Bilal Powell,0.52,0.50,0.05,12.00,24.00
Lamar Miller,0.52,1.00,0.05,60.00,163.00
Devonta Freeman,0.50,1.00,0.04,16.00,178.00
Kalen Ballage,0.50,1.00,0.04,0.00,79.00
T.J. Yeldon,0.50,1.69,0.04,5.00,32.00
Wendell Smallwood,0.50,1.47,0.04,5.00,23.00
Giovani Bernard,0.50,1.99,0.04,3.00,69.00
Dion Lewis,0.49,0.25,0.04,2.00,107.00
Latavius Murray,0.48,0.78,0.04,2.00,138.00
Kenyan Drake,0.48,1.61,0.04,3.00,177.00
Ezekiel Elliott,0.48,0.25,0.04,127.00,282.00
Duke Johnson,0.47,1.06,0.04,8.00,75.00
James White,0.44,0.45,0.04,28.00,129.00
Rashaad Penny,0.44,2.25,0.04,5.00,113.00
Kareem Hunt,0.44,1.02,0.04,127.00,46.00
Devontae Booker,0.44,1.25,0.04,5.00,54.00
Christian McCaffrey,0.44,0.78,0.04,17.00,253.00
DeAndre Washington,0.44,0.46,0.04,31.00,7.00
Frank Gore,0.42,0.52,0.03,4.00,56.00
Tarik Cohen,0.42,0.83,0.03,127.00,131.00
Malcolm Brown,0.42,0.31,0.03,6.00,40.00
Damien Williams,0.41,1.00,0.03,11.00,178.00
Buck Allen,0.41,0.68,0.03,127.00,9.00
Jalen Richard,0.29,0.14,0.02,127.00,63.00
Dwayne Washington,0.22,1.42,0.02,2.00,9.00
Zach Zenner,0.20,0.84,0.01,2.00,7.00
Andre Ellington,0.19,0.90,0.01,14.00,14.00
